year,number ,session,extension
2020,116,2,/legislative/LIS/roll_call_lists/vote_menu_116_2.htm
2019,116,1,/legislative/LIS/roll_call_lists/vote_menu_116_1.htm
2018,115,2,/legislative/LIS/roll_call_lists/vote_menu_115_2.htm
2017,115,1,/legislative/LIS/roll_call_lists/vote_menu_115_1.htm
2016,114,2,/legislative/LIS/roll_call_lists/vote_menu_114_2.htm
2015,114,1,/legislative/LIS/roll_call_lists/vote_menu_114_1.htm
2014,113,2,/legislative/LIS/roll_call_lists/vote_menu__113_2.htm
2013,113,1,/legislative/LIS/roll_call_lists/vote_menu__113_1.htm
2012,112,2,/legislative/LIS/roll_call_lists/vote_menu__112_2.htm
2011,112,1,/legislative/LIS/roll_call_lists/vote_menu__112_1.htm
2010,111,2,/legislative/LIS/roll_call_lists/vote_menu__111_2.htm
2009,111,1,/legislative/LIS/roll_call_lists/vote_menu__111_1.htm
2008,110,2,/legislative/LIS/roll_call_lists/vote_menu__110_2.htm
2007,110,1,/legislative/LIS/roll_call_lists/vote_menu__110_1.htm
2006,109,2,/legislative/LIS/roll_call_lists/vote_menu__109_2.htm
2005,109,1,/legislative/LIS/roll_call_lists/vote_menu__109_1.htm
2004,108,2,/legislative/LIS/roll_call_lists/vote_menu__108_2.htm
2003,108,1,/legislative/LIS/roll_call_lists/vote_menu__108_1.htm
2002,107,2,/legislative/LIS/roll_call_lists/vote_menu__107_2.htm
2001,107,1,/legislative/LIS/roll_call_lists/vote_menu__107_1.htm
2000,106,2,/legislative/LIS/roll_call_lists/vote_menu__106_2.htm
1999,106,1,/legislative/LIS/roll_call_lists/vote_menu__106_1.htm
1998,105,2,/legislative/LIS/roll_call_lists/vote_menu__105_2.htm
1997,105,1,/legislative/LIS/roll_call_lists/vote_menu__105_1.htm
1996,104,2,/legislative/LIS/roll_call_lists/vote_menu__104_2.htm
1995,104,1,/legislative/LIS/roll_call_lists/vote_menu__104_1.htm
1994,103,2,/legislative/LIS/roll_call_lists/vote_menu__103_2.htm
1993,103,1,/legislative/LIS/roll_call_lists/vote_menu__103_1.htm
1992,102,2,/legislative/LIS/roll_call_lists/vote_menu__102_2.htm
1991,102,1,/legislative/LIS/roll_call_lists/vote_menu__102_1.htm
1990,101,2,/legislative/LIS/roll_call_lists/vote_menu__101_2.htm
1989,101,1,/legislative/LIS/roll_call_lists/vote_menu__101_1.htm